clip,source,pick_index,start_frame,end_frame,start_s,end_s,duration_s,score,mean_activity,dof_span,body_span
xiti__pick001_001480_004480.npz,xiti.npz,1,74,224,1.48,4.48,3.0,0.5986561474215493,0.3585885897937383,0.8626459989615757,0.20025571890330562
xuanfengti__pick000_001860_004360.npz,xuanfengti.npz,0,93,218,1.86,4.36,2.5,0.8675549695852955,0.4762961485061909,1.4080244122146044,0.5226929242412249
xuanfengti__pick001_003700_006700.npz,xuanfengti.npz,1,185,335,3.7,6.7,3.0,0.35944361114867174,0.12505541549763496,0.8167948074937474,0.22352822768191496
xuanzi__pick000_003720_006220.npz,xuanzi.npz,0,186,311,3.72,6.22,2.5,1.1885237792129337,0.6739349523301591,1.7895916953642408,0.8361365853995085
xuanzi__pick001_005580_008080.npz,xuanzi.npz,1,279,404,5.58,8.08,2.5,0.88054430447061,0.4455117975843882,1.4590078061041625,0.746539637769262
zhizaoweilai__pick000_053940_056440.npz,zhizaoweilai.npz,0,2697,2822,53.94,56.44,2.5,1.0126272176584648,0.712853541985026,1.1983727798088575,0.19232746474444867
zhizaoweilai__pick001_065720_068220.npz,zhizaoweilai.npz,1,3286,3411,65.72,68.22,2.5,0.9755808968341074,0.7183269456990513,1.0251554857291605,0.13981902659482634
zhuanshen__pick000_005000_009000.npz,zhuanshen.npz,0,250,450,5.0,9.0,4.0,0.7738251449767857,0.5937266273655424,0.541666805582202,0.1451010432986853
zhuanshen__pick001_002960_005960.npz,zhuanshen.npz,1,148,298,2.96,5.96,3.0,0.6731527831545793,0.47499222848138056,0.6213239296136991,0.24263845833639303
zuhequan__pick000_000620_003120.npz,zuhequan.npz,0,31,156,0.62,3.12,2.5,0.7844544582663426,0.5008839129083059,1.1355220869831417,0.1681075197427223
zuhequan__pick001_002340_004840.npz,zuhequan.npz,1,117,242,2.34,4.84,2.5,0.4463616263392622,0.21161419491579264,0.913679728972847,0.13840990419266747
